date,sales
2025-01-01,1102100
2025-01-02,819700
2025-01-03,713400
2025-01-04,602500
2025-01-05,748800
2025-01-06,695600
2025-01-07,791300
2025-01-08,893400
2025-01-09,1123700
2025-01-10,746900
2025-01-11,1171500
2025-01-12,872100
2025-01-13,789600
2025-01-14,692800
2025-01-15,1162700
2025-01-16,881100
2025-01-17,1144600
2025-01-18,646900
2025-01-19,833500
2025-01-20,652500
2025-01-21,786300
2025-01-22,772000
2025-01-23,1127200
2025-01-24,659100
2025-01-25,832200
2025-01-26,951000
2025-01-27,620700
2025-01-28,1026200
2025-01-29,942100
2025-01-30,1008900
2025-01-31,1124900
