date,sales
2025-03-01,719800
2025-03-02,1126800
2025-03-03,899700
2025-03-04,1166100
2025-03-05,859500
2025-03-06,680700
2025-03-07,946500
2025-03-08,812100
2025-03-09,1039300
2025-03-10,988600
2025-03-11,673000
2025-03-12,779500
2025-03-13,782300
2025-03-14,946600
2025-03-15,961100
2025-03-16,1052500
2025-03-17,619900
2025-03-18,744700
2025-03-19,1118100
2025-03-20,838900
2025-03-21,1096100
2025-03-22,911600
2025-03-23,885000
2025-03-24,795400
2025-03-25,1120800
2025-03-26,1086300
2025-03-27,779200
2025-03-28,748300
2025-03-29,619700
2025-03-30,689400
2025-03-31,1137400
