date,sales
2025-04-01,1156600
2025-04-02,613600
2025-04-03,823700
2025-04-04,825700
2025-04-05,739200
2025-04-06,1149600
2025-04-07,941900
2025-04-08,616800
2025-04-09,885200
2025-04-10,1027200
2025-04-11,756100
2025-04-12,1041900
2025-04-13,650800
2025-04-14,918600
2025-04-15,1191800
2025-04-16,1114900
2025-04-17,777700
2025-04-18,936100
2025-04-19,614600
2025-04-20,1139300
2025-04-21,1031700
2025-04-22,1060500
2025-04-23,856200
2025-04-24,1147700
2025-04-25,690800
2025-04-26,1065200
2025-04-27,1098100
2025-04-28,881300
2025-04-29,1144200
2025-04-30,969500
